Benchmark,Filename,NumRepairs,TimeToFirst,Runtime,NodesExplored,Runs
addedVarsGyro_Var1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1.0,202.0,206.0,2.1,10
addedVarsGyro_Var1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE1.spectra,1.0,202.0,206.0,2.1,10
addedVarsGyro_Var1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1.0,203.0,207.0,2.0,10
addedVarsGyro_Var1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE3.spectra,1.0,229.0,232.0,2.1,10
addedVarsGyro_Var1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE4.spectra,1.0,239.0,243.0,2.2,10
addedVarsGyro_Var1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE5.spectra,1.0,315.0,319.0,2.2,10
addedVarsGyro_Var1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS1.spectra,1.0,216.0,220.0,2.2,10
addedVarsGyro_Var1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS2.spectra,1.0,243.0,247.0,2.1,10
addedVarsGyro_Var1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS3.spectra,1.0,273.0,276.0,2.3,10
addedVarsGyro_Var1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS4.spectra,1.0,223.0,227.0,2.1,10
addedVarsGyro_Var1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS5.spectra,1.0,224.0,228.0,2.2,10
addedVarsHumanoid458,inputs-scalability/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizable.spectra,1.0,250.0,254.0,2.5,10
addedVarsHumanoid458,inputs-scalability/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE1.spectra,1.0,222.0,227.0,2.2,10
addedVarsHumanoid458,inputs-scalability/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE2.spectra,1.0,241.0,245.0,2.3,10
addedVarsHumanoid458,inputs-scalability/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE3.spectra,1.0,252.0,256.0,2.5,10
addedVarsHumanoid458,inputs-scalability/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE4.spectra,1.0,243.0,247.0,2.4,10
addedVarsHumanoid458,inputs-scalability/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE5.spectra,1.0,271.0,275.0,2.4,10
addedVarsHumanoid458,inputs-scalability/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS1.spectra,1.0,279.0,283.0,2.6,10
addedVarsHumanoid458,inputs-scalability/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS2.spectra,1.0,237.0,241.0,2.5,10
addedVarsHumanoid458,inputs-scalability/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS3.spectra,1.0,242.0,246.0,2.5,10
addedVarsHumanoid458,inputs-scalability/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS4.spectra,1.0,269.0,273.0,2.6,10
addedVarsHumanoid458,inputs-scalability/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS5.spectra,1.0,283.0,287.0,2.5,10
addedVarsLift,inputs-scalability/addedVarsLift/Lift.spectra,1.0,192.0,196.0,2.4,10
addedVarsLift,inputs-scalability/addedVarsLift/LiftE1.spectra,1.0,173.0,178.0,2.0,10
addedVarsLift,inputs-scalability/addedVarsLift/LiftE2.spectra,1.0,182.0,186.0,2.0,10
addedVarsLift,inputs-scalability/addedVarsLift/LiftE3.spectra,1.0,259.0,263.0,2.9,10
addedVarsLift,inputs-scalability/addedVarsLift/LiftE4.spectra,1.0,292.0,296.0,3.4,10
addedVarsLift,inputs-scalability/addedVarsLift/LiftE5.spectra,1.0,265.0,269.0,2.8,10
addedVarsLift,inputs-scalability/addedVarsLift/LiftS1.spectra,1.0,171.0,174.0,2.0,10
addedVarsLift,inputs-scalability/addedVarsLift/LiftS2.spectra,1.0,214.0,218.0,2.5,10
addedVarsLift,inputs-scalability/addedVarsLift/LiftS3.spectra,1.0,167.0,171.0,2.0,10
addedVarsLift,inputs-scalability/addedVarsLift/LiftS4.spectra,1.0,220.0,224.0,2.4,10
addedVarsLift,inputs-scalability/addedVarsLift/LiftS5.spectra,1.0,205.0,209.0,2.5,10
addedVarsRG1,inputs-scalability/addedVarsRG1/RG1.spectra,1.0,394.0,398.0,4.3,10
addedVarsRG1,inputs-scalability/addedVarsRG1/RG1E1.spectra,1.0,295.0,298.0,3.8,10
addedVarsRG1,inputs-scalability/addedVarsRG1/RG1E2.spectra,1.0,259.0,262.0,3.2,10
addedVarsRG1,inputs-scalability/addedVarsRG1/RG1E3.spectra,1.0,450.0,454.0,5.1,10
addedVarsRG1,inputs-scalability/addedVarsRG1/RG1E4.spectra,1.0,455.0,458.0,4.8,10
addedVarsRG1,inputs-scalability/addedVarsRG1/RG1E5.spectra,1.0,501.0,504.0,4.5,10
addedVarsRG1,inputs-scalability/addedVarsRG1/RG1S1.spectra,1.0,336.0,339.0,4.2,10
addedVarsRG1,inputs-scalability/addedVarsRG1/RG1S2.spectra,1.0,319.0,323.0,4.0,10
addedVarsRG1,inputs-scalability/addedVarsRG1/RG1S3.spectra,1.0,405.0,409.0,4.5,10
addedVarsRG1,inputs-scalability/addedVarsRG1/RG1S4.spectra,0.9,348.0,367.0,3.7,10
addedVarsRG1,inputs-scalability/addedVarsRG1/RG1S5.spectra,0.9,363.0,388.0,4.2,10
