System,Specification,NodesExplored,NumRepairs,MinNumVariables,MaxNumVariables,MinNumAssumptions,MaxNumAssumptions,MaxWeakness,Repaired
ColorSort,ColorSortLTL2TAG_789_ColorSort_1,0,0,0,0,0,0,,False
ColorSort,ColorSortLTL2TAG_789_ColorSort_2,0,0,0,0,0,0,,False
ColorSort,ColorSortLTL2TAG_789_ColorSort_3,0,0,0,0,0,0,,False
ColorSort,ColorSortLTL2_621_ColorSort_fixed_1,0,0,0,0,0,0,,False
ColorSort,ColorSortLTL2_794_ColorSort_fixed_1,0,0,0,0,0,0,,False
ColorSort,ColorSortLTL3TAG_787_ColorSort_1,0,0,0,0,0,0,,False
ColorSort,ColorSortLTL3TAG_787_ColorSort_2,0,0,0,0,0,0,,False
ColorSort,ColorSortLTL3TAG_787_ColorSort_3,0,0,0,0,0,0,,False
ColorSort,ColorSortLTL3_621_ColorSort_fixed_1,0,0,0,0,0,0,,False
ColorSort,ColorSortLTL3_646_ColorSort_fixed_1,0,0,0,0,0,0,,False
ColorSort,ColorSortLTL3_662_ColorSort_fixed_1,0,0,0,0,0,0,,False
ColorSort,ColorSortLTL3_674_ColorSort_fixed_1,0,0,0,0,0,0,,False
ColorSort,ColorSortLTL3_674_ColorSort_fixed_2,0,0,0,0,0,0,,False
ColorSort,ColorSortLTL3_675_ColorSort_fixed_1,0,0,0,0,0,0,,False
ColorSort,ColorSortLTL3_675_ColorSort_fixed_2,0,0,0,0,0,0,,False
ColorSort,ColorSortLTL3_678_ColorSort_fixed_1,0,0,0,0,0,0,,False
ColorSort,ColorSortLTL3_678_ColorSort_fixed_2,0,0,0,0,0,0,,False
ColorSort,ColorSortLTL3_679_ColorSort_fixed_1,0,0,0,0,0,0,,False
ColorSort,ColorSortLTL3_679_ColorSort_fixed_2,0,0,0,0,0,0,,False
ColorSort,ColorSortLTL3_681_ColorSort_fixed_1,0,0,0,0,0,0,,False
ColorSort,ColorSortLTL3_681_ColorSort_fixed_2,0,0,0,0,0,0,,False
ColorSort,ColorSortLTL3_682_ColorSort_fixed_1,0,0,0,0,0,0,,False
ColorSort,ColorSortLTL3_682_ColorSort_fixed_2,0,0,0,0,0,0,,False
ColorSort,ColorSortLTL3_682_ColorSort_fixed_3,0,0,0,0,0,0,,False
